Search for FDA Guidance Documents | FDA,,,,,,,,
Summary,Document,Issue Date,FDA Organization,Topic,Guidance Status,Open for Comment,Comment Closing Date on Draft,Docket Number
"CPG Sec 550.750 Raisins - Adulteration Involving Mold, Sand, Grit, & Insects","PDF (9.93 KB)PDF (9.93 KB) of CPG Sec 550.750 Raisins - Adulteration Involving Mold, Sand, Grit, & Insects",11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Fruit/Fruit Product",Final,No,,
CPG Sec 550.800 Standardized Canned Fruit - Misbranding Involving Improper Declaration of Packing Medium,PDF (10.36 KB)PDF (10.36 KB) of CPG Sec 550.800 Standardized Canned Fruit - Misbranding Involving Improper Declaration of Packing Medium,11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Fruit/Fruit Product",Final,No,,
"CPG Sec 550.850 Strawberries; Frozen, Whole, or Sliced - Adulteration with Sand, Mold","PDF (10.12 KB)PDF (10.12 KB) of CPG Sec 550.850 Strawberries; Frozen, Whole, or Sliced - Adulteration with Sand, Mold",11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Fruit/Fruit Product",Final,No,,
CPG Sec 555.250 Statement of Policy for Labeling and Preventing Cross-contact of Common Food Allergens,PDF (24.45 KB)PDF (24.45 KB) of CPG Sec 555.250 Statement of Policy for Labeling and Preventing Cross-contact of Common Food Allergens,11/29/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement,",Final,No,,
CPG Sec 555.880 Guidance Levels for Radionuclides in Domestic and Imported Foods,PDF (26.41 KB)PDF (26.41 KB) of CPG Sec 555.880 Guidance Levels for Radionuclides in Domestic and Imported Foods,11/29/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Import",Final,No,,
CPG Sec 560.200 Country of Origin Labeling,PDF (13.81 KB)PDF (13.81 KB) of CPG Sec 560.200 Country of Origin Labeling,11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Import",Final,No,,
CPG Sec 570.300 Peanut Butter - Adulteration with Filth; Grit,PDF (12.54 KB)PDF (12.54 KB) of CPG Sec 570.300 Peanut Butter - Adulteration with Filth; Grit,11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Nuts & Nut Products",Final,No,,
"CPG Sec 570.350 Peanuts, Shelled and Unshelled - Adulteration with Filth and Reject Nuts","PDF (11.77 KB)PDF (11.77 KB) of CPG Sec 570.350 Peanuts, Shelled and Unshelled - Adulteration with Filth and Reject Nuts",11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Nuts & Nut Products",Final,No,,
"CPG Sec 570.425 Tree Nuts - Adulteration Involving Rejects (Insect Infestation, Moldy, Rancid, Otherwise Decomposed, Blanks, and Shriveled)","PDF (17.86 KB)PDF (17.86 KB) of CPG Sec 570.425 Tree Nuts - Adulteration Involving Rejects (Insect Infestation, Moldy, Rancid, Otherwise Decomposed, Blanks, and Shriveled)",11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Nuts & Nut Products",Final,No,,
"CPG Sec 570.450 Tree Nuts - Adulteration with Filth, Involving the Presence of the Organism Escherichia coli","PDF (13.08 KB)PDF (13.08 KB) of CPG Sec 570.450 Tree Nuts - Adulteration with Filth, Involving the Presence of the Organism Escherichia coli",11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Nuts & Nut Products",Final,No,,
CPG Sec 580.100 Food Storage and Warehousing-Adulteration-Filth (Domestic and Import),PDF (27.04 KB)PDF (27.04 KB) of CPG Sec 580.100 Food Storage and Warehousing-Adulteration-Filth (Domestic and Import),11/29/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement,",Final,No,,
"CPG Sec 585.200 Beets, Canned - Adulteration with Rot","PDF (8.87 KB)PDF (8.87 KB) of CPG Sec 585.200 Beets, Canned - Adulteration with Rot",11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
"CPG Sec 585.275 Brussels Sprouts, Frozen - Adulteration by Insects","PDF (9.37 KB)PDF (9.37 KB) of CPG Sec 585.275 Brussels Sprouts, Frozen - Adulteration by Insects",11/29/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Vegetable Products",Final,No,,
"CPG Sec 585.300 Corn, Sweet; Canned - Adulteration by Corn Ear Worms, Corn Borers","PDF (9.91 KB)PDF (9.91 KB) of CPG Sec 585.300 Corn, Sweet; Canned - Adulteration by Corn Ear Worms, Corn Borers",11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
CPG Sec 585.400 Cowpeas (Black-Eyed Peas); Canned (Succulent Peas) - Adulteration by Insects,PDF (9.81 KB)PDF (9.81 KB) of CPG Sec 585.400 Cowpeas (Black-Eyed Peas); Canned (Succulent Peas) - Adulteration by Insects,11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
CPG Sec 585.475 Canned Green Beans and Canned Wax Beans - Misbranding Involving Food Standards,PDF (16.69 KB)PDF (16.69 KB) of CPG Sec 585.475 Canned Green Beans and Canned Wax Beans - Misbranding Involving Food Standards,11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
"CPG Sec 585.575 Peas and Beans; Dried - Adulteration Involving Storage, Insect Damage, Rocks","PDF (14.46 KB)PDF (14.46 KB) of CPG Sec 585.575 Peas and Beans; Dried - Adulteration Involving Storage, Insect Damage, Rocks",11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
"CPG Sec 585.775 Spinach, Canned or Frozen - Adulteration Involving Insects, Decomposition","PDF (11.95 KB)PDF (11.95 KB) of CPG Sec 585.775 Spinach, Canned or Frozen - Adulteration Involving Insects, Decomposition",11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
CPG Sec 585.825 Sweet Potatoes - Dyeing of Yellow and Red Varieties,PDF (13.53 KB)PDF (13.53 KB) of CPG Sec 585.825 Sweet Potatoes - Dyeing of Yellow and Red Varieties,11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
CPG Sec 587.300 Color Additives,PDF (9.33 KB)PDF (9.33 KB) of CPG Sec 587.300 Color Additives,11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Food & Color Additives",Final,No,,
CPG Sec 590.300 Direct Reference Authority for Pseudomonas Contamination of Cosmetics Used in the Eye Area,PDF (9.57 KB)PDF (9.57 KB) of CPG Sec 590.300 Direct Reference Authority for Pseudomonas Contamination of Cosmetics Used in the Eye Area,11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement,",Final,No,,
"CPG Sec 590.400 Natural Bristle Brushes (i.e., Hair Brushes, Shaving Brushes) - Nit Contamination","PDF (9.28 KB)PDF (9.28 KB) of CPG Sec 590.400 Natural Bristle Brushes (i.e., Hair Brushes, Shaving Brushes) - Nit Contamination",11/29/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement,",Final,No,,
CPG Sec 520.300 Acidified Low-Acid Canned Foods - Adulteration Due to High pH,,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Canned Foods",Final,No,,
CPG Sec 525.100 Whole & Ground Allspice - Adulteration by Mold; Insect & Rodent Filth,,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Dressing/Condiment",Final,No,,
CPG Sec 525.575 Prepared Mustard - Composition,,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Dressing/Condiment",Final,No,,
CPG Sec 525.800 Tomato Sauce or Tomato Hot Sauce Labeling,,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Dressing/Condiment",Final,No,,
CPG Sec 527.250 Cheese & Cheese Products - Misbranding Involving Net Contents,,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Dairy",Final,No,,
CPG Sec 527.350 Eggnog; Egg Nog Flavored Milk - Common or Usual Names,,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Dairy",Final,No,,
"CPG Sec 527.400 Whole Milk, Lowfat Milk, Skim Milk - Aflatoxin M1",,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Dairy",Final,No,,
CPG Sec 530.500 Wheat Germ Containing Non-Wheat Germ Tissue,,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement,",Final,No,,
"CPG Sec 540.200 Chubs, Hot Process Smoked with Added Nitrite - Adulteration Involving Food Additives, Sodium Nitrite",,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Seafood/Seafood Product",Final,No,,
"CPG Sec 540.250 Clams, Mussels, Oysters, Fresh, Frozen or Canned - Paralytic Shellfish Poison",,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Seafood/Seafood Product",Final,No,,
"CPG Sec 540.410 Shrimp - Frozen, Raw, Breaded or Lightly Breaded, Misbranding Involving Non-Compliance with Standards",,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Seafood/Seafood Product",Final,No,,
"CPG Sec 550.475 Jellies, Nonstandardized",,11/28/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Fruit/Fruit Product",Final,No,,
CPG Sec 550.605 Olives Stuffed with Minced Pimentos - Labeling,,11/28/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Fruit/Fruit Product",Final,No,,
"CPG Sec 550.650 Peaches, Canned, Frozen - Adulteration Due to Insects and Mold",,11/28/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Fruit/Fruit Product",Final,No,,
CPG Sec 578.500 Dimethylnitrosamine (DMNA) in Barley Malt,,11/28/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Grain/Grain Product",Final,No,,
"CPG Sec 585.325 Corn on the Cob, Canned - Quantity of Contents Declaration",,11/28/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
"CPG Sec 585.500 Mushrooms, Canned or Dried (Freeze-Dried or Dehydrated) - Adulteration Involving Maggots, Mites, Decomposition",,11/28/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Vegetable Products",Final,No,,
CPG Sec 585.750 Sauerkraut - Definition; Adulteration by Thrips,,11/28/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
CPG Sec. 160.100 Regulatory Actions and Small Business,,11/28/2005,Office of Inspections and Investigations,"Investigation & Enforcement,",Final,No,,
CPG Sec 585.875 Tomatoes - Canned - Misbranding Involving Food Standards (Peel),PDF (10.64 KB)PDF (10.64 KB) of CPG Sec 585.875 Tomatoes - Canned - Misbranding Involving Food Standards (Peel),11/25/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Vegetable Products",Final,No,,
CPG Sec 585.890 Tomato Products - Adulteration with Drosophila Fly Eggs and Maggots,PDF (11.29 KB)PDF (11.29 KB) of CPG Sec 585.890 Tomato Products - Adulteration with Drosophila Fly Eggs and Maggots,11/25/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
CPG Sec 585.900 Tomato Products - Adulteration with Mold,PDF (20.94 KB)PDF (20.94 KB) of CPG Sec 585.900 Tomato Products - Adulteration with Mold,11/25/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Vegetable Products",Final,No,,
CVM GFI #135 Validation of Analytical Procedures for Type C Medicated Feeds,PDF (106.96 KB)PDF (106.96 KB) of CVM GFI #135 Validation of Analytical Procedures for Type C Medicated Feeds,11/07/2005,Center for Veterinary Medicine,"Animal Feed, Chemistry, Manufacturing, and Controls (CMC)",Final,No,,FDA-2004-D-0370
Applicability of the Performance Standard for High-Intensity Mercury Vapor Discharge Lamps (21 CFR 1040.30),PDF (31.82 KB)PDF (31.82 KB) of Applicability of the Performance Standard for High-Intensity Mercury Vapor Discharge Lamps (21 CFR 1040.30),11/05/2005,"Center for Devices and Radiological Health,Office of Product Evaluation and Quality,Office of In Vitro Diagnostics and Radiological Health",,Final,No,,FDA-2020-D-0957
"Guidance for Industry: Notice to Growers, Food Manufacturers, Food Warehouse Managers, and Transporters of Food Products on Decontamination of Transport Vehicles",,11/01/2005,Human Foods Program,Transportation,Final,No,,FDA-2005-D-0337
Dental Composite Resin Devices - Premarket Notification [510(k)] Submissions -  Guidance for Industry and FDA Staff,,10/25/2005,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2020-D-0957
S7B Nonclinical Evaluation of the Potential for Delayed Ventricular Repolarization (QT Interval Prolongation) by Human Pharmaceuticals,PDF (51.75 KB)PDF (51.75 KB) of S7B Nonclinical Evaluation of the Potential for Delayed Ventricular Repolarization (QT Interval Prolongation) by Human Pharmaceuticals,10/20/2005,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,ICH-Safety,Final,No,,FDA-2004-D-0366
E14 Clinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential for Non-Antiarrhythmic Drugs,PDF (97.84 KB)PDF (97.84 KB) of E14 Clinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential for Non-Antiarrhythmic Drugs,10/11/2005,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,ICH-Efficacy,Final,No,,FDA-2004-D-0241
Letter to State Regulatory Agencies and Firms That Produce Treated (but not Pasteurized) and Untreated Juice and Cider,,09/22/2005,Human Foods Program,Juice,Final,No,,FDA-2020-D-1938
"Review Criteria for Assessment of C-Reactive Protein (CRP), High Sensitivity C-Reactive Protein (hsCRP) and Cardiac C-Reactive Assays:  Guidance for Industry and FDA Staff","PDF (175.75 KB)PDF (175.75 KB) of Review Criteria for Assessment of C-Reactive Protein (CRP), High Sensitivity C-Reactive Protein (hsCRP) and Cardiac C-Reactive Assays:  Guidance for Industry and FDA Staff",09/22/2005,Center for Devices and Radiological Health,"Postmarket, Cardiovascular",Final,No,,FDA-2020-D-0957
How to Comply with the Pediatric Research Equity Act,PDF (115.53 KB)PDF (115.53 KB) of How to Comply with the Pediatric Research Equity Act,09/07/2005,Center for Drug Evaluation and Research,"Administrative / Procedural, Pediatric Product Development",Draft,No,,
M5International Conference on Harmonisation; Draft Guidance on M5 Data Elements and Standards for Drug Dictionaries,PDF (405.51 KB)PDF (405.51 KB) of M5International Conference on Harmonisation; Draft Guidance on M5 Data Elements and Standards for Drug Dictionaries,09/06/2005,Center for Drug Evaluation and Research,ICH-Multidisciplinary,Draft,No,,FDA-2005-D-0459
Medical Devices with Sharps Injury Prevention Features -  Guidance for Industry and FDA Staff,PDF (216.97 KB)PDF (216.97 KB) of Medical Devices with Sharps Injury Prevention Features -  Guidance for Industry and FDA Staff,08/08/2005,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2020-D-0957
Estimating the Maximum Safe Starting Dose in Initial Clinical Trials for Therapeutics in Adult Healthy Volunteers,PDF (702.04 KB)PDF (702.04 KB) of Estimating the Maximum Safe Starting Dose in Initial Clinical Trials for Therapeutics in Adult Healthy Volunteers,07/28/2005,,Pharmacology/Toxicology,Final,No,,
Menstrual Tampons and Pads: Information for Premarket Notification Submissions (510(k)s) -  Guidance for Industry and FDA Staff,PDF (303.32 KB)PDF (303.32 KB) of Menstrual Tampons and Pads: Information for Premarket Notification Submissions (510(k)s) -  Guidance for Industry and FDA Staff,07/26/2005,Center for Devices and Radiological Health,"Premarket, 510(k)",Final,No,,FDA-2020-D-0957
Nonclinical Pharmacology/Toxicology Development of Topical Drugs Intended to Prevent the Transmission of Sexually Transmitted Diseases (STD) and/or for the Development of Drugs Intended to Act as Vaginal Contraceptives,,06/30/2005,,Pharmacology/Toxicology,Final,No,,
Q5E Comparability of Biotechnological/Biological Products Subject to Changes in Their Manufacturing Process,PDF (58.1 KB)PDF (58.1 KB) of Q5E Comparability of Biotechnological/Biological Products Subject to Changes in Their Manufacturing Process,06/30/2005,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,ICH-Quality,Final,No,,FDA-2004-D-0440
Assessing Donor Suitability and Blood and Blood Product Safety in Cases of Known or Suspected West Nile Virus Infection:  Guidance for Industry,PDF (39.62 KB)PDF (39.62 KB) of Assessing Donor Suitability and Blood and Blood Product Safety in Cases of Known or Suspected West Nile Virus Infection:  Guidance for Industry,06/23/2005,Center for Biologics Evaluation and Research,Blood Products,Final,No,,FDA-2005-D-0139
CPG Sec. 315.100 Illegal Interstate Commercial Shipment of Dentures (CPG retitled and revised 5/19/2005),PDF (97.34 KB)PDF (97.34 KB) of CPG Sec. 315.100 Illegal Interstate Commercial Shipment of Dentures (CPG retitled and revised 5/19/2005),05/19/2005,Center for Devices and Radiological HealthOffice of Regulatory Affairs,"Investigation & Enforcement, Dental",Final,No,,FDA-2020-D-0957
Nonclinical Studies for the Safety Evaluation of Pharmaceutical Excipients,PDF (229.53 KB)PDF (229.53 KB) of Nonclinical Studies for the Safety Evaluation of Pharmaceutical Excipients,05/19/2005,Center for Drug Evaluation and Research,Pharmacology/Toxicology,Final,No,,FDA-2002-D-0188
"Guidance for Industry: Channels of Trade Policy for Commodities With Residues of Pesticide Chemicals, for Which Tolerances Have Been Revoked, Suspended, or Modified by the Environmental Protection Agency Pursuant to Dietary Risk Considerations",,05/18/2005,Human Foods Program,Pesticide,Final,No,,FDA-2003-D-0430
CPG Sec 560.400 Imported Milk and Cream - Federal Import Milk Act,PDF (23.28 KB)PDF (23.28 KB) of CPG Sec 560.400 Imported Milk and Cream - Federal Import Milk Act,05/12/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Import",Final,No,,
"CPG Sec 525.225 - Whole Cassia or Whole Cinnamon, Ground Cinnamon - Adulteration by Insect and Rodent Filth; Mold; Mammalian Excreta","PDF (11.84 KB)PDF (11.84 KB) of CPG Sec 525.225 - Whole Cassia or Whole Cinnamon, Ground Cinnamon - Adulteration by Insect and Rodent Filth; Mold; Mammalian Excreta",05/01/2005,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Dressing/Condiment",Final,No,,
"CPG Sec 555.425  Foods, Adulteration Involving hard or Sharp Foreign Objects","PDF (15.56 KB)PDF (15.56 KB) of CPG Sec 555.425  Foods, Adulteration Involving hard or Sharp Foreign Objects",05/01/2005,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement,",Final,No,,
Evaluating the Risks of Drug Exposure in Human Pregnancies,PDF (3.08 MB)PDF (3.08 MB) of Evaluating the Risks of Drug Exposure in Human Pregnancies,04/27/2005,Center for Drug Evaluation and Research,Clinical - Medical,Final,No,,
CPG Sec. 100.700  GWQAP Pre-Award Evaluation - Inadequate Information to Evaluate Prospective Supplier,,04/24/2005,Office of Regulatory Affairs,"Investigation & Enforcement,",Final,No,,
Providing Regulatory Submissions in Electronic Format — Content of Labeling,PDF (42.75 KB)PDF (42.75 KB) of Providing Regulatory Submissions in Electronic Format — Content of Labeling,04/21/2005,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,"Electronic Submissions,",Final,No,,
Guidance for Industry: Templates for Reporting Toxicology Data,,04/11/2005,Human Foods Program,Food & Color Additives,Final,No,,FDA-2020-D-1941
CPG Sec. 390.300 Assessment of Civil Penalties Against Manufacturers and Importers of Electronic Products,,04/01/2005,,"Investigation & Enforcement, Administrative / Procedural",Final,No,,
Guidance for Industry: Pre-Petition Consultations for Food Additives and Color Additives,,04/01/2005,Human Foods Program,"Food & Color Additives, Ingredients",Final,No,,FDA-2020-D-1944
Guidance for Industry: Submitting Requests under 21 CFR 170.39 Threshold of Regulation for Substances Used in Food-Contact Articles,,04/01/2005,Human Foods Program,"Food & Color Additives, Ingredients",Final,No,,FDA-2013-N-0730
E2E Pharmacovigilance Planning,PDF (99.67 KB)PDF (99.67 KB) of E2E Pharmacovigilance Planning,04/01/2005,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,ICH-Efficacy,Final,No,,FDA-2004-D-0245
Guidance for Review Staff and Industry Good Review Management Principles and Practices for PDUFA Products,PDF (701.94 KB)PDF (701.94 KB) of Guidance for Review Staff and Industry Good Review Management Principles and Practices for PDUFA Products,04/01/2005,Center for Drug Evaluation and Research,Administrative / Procedural,Draft,No,,
Guidance for Industry: Dietary Supplement Labeling Guide,,03/31/2005,Human Foods Program,Labeling,Final,No,,FDA-2004-D-0544
Development and Use of Risk Minimization Action Plans:  Guidance for Industry,PDF (128.07 KB)PDF (128.07 KB) of Development and Use of Risk Minimization Action Plans:  Guidance for Industry,03/29/2005,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Clinical - Medical, Good Clinical Practice (GCP)",Final,No,,FDA-2004-D-0441
Premarketing Risk Assessment:  Guidance for Industry,PDF (129.5 KB)PDF (129.5 KB) of Premarketing Risk Assessment:  Guidance for Industry,03/29/2005,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Clinical - Medical, Good Clinical Practice (GCP)",Final,No,,FDA-2004-D-0121
Good Pharmacovigilance Practices and Pharmacoepidemiologic Assessment:  Guidance for Industry,PDF (225.83 KB)PDF (225.83 KB) of Good Pharmacovigilance Practices and Pharmacoepidemiologic Assessment:  Guidance for Industry,03/24/2005,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Clinical - Medical, Good Clinical Practice (GCP)",Final,No,,FDA-2004-D-0041
E2B(M) Questions and Answers,PDF (61.07 KB)PDF (61.07 KB) of E2B(M) Questions and Answers,03/09/2005,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,ICH-Efficacy,Final,No,,FDA-1996-D-0168
CPG Sec. 390.400 Examples of Electronic Products Subject to the Reporting Requirements Under 21 CFR 1000.15(a),,03/01/2005,Center for Devices and Radiological HealthOffice of Regulatory Affairs,"Investigation & Enforcement, Administrative / Procedural",Final,No,,FDA-2020-D-0957
"Pharmacogenomic Data Submissions; Examples of Voluntary Submissions or Submissions Required Under 21 CFR 312, 314, or 601","PDF (63.39 KB)PDF (63.39 KB) of Pharmacogenomic Data Submissions; Examples of Voluntary Submissions or Submissions Required Under 21 CFR 312, 314, or 601",03/01/2005,Center for Drug Evaluation and Research,Administrative / Procedural,Final,No,,
Pharmacogenomic Data Submissions:  Guidance for Industry,PDF (179.08 KB)PDF (179.08 KB) of Pharmacogenomic Data Submissions:  Guidance for Industry,03/01/2005,Center for Drug Evaluation and ResearchCenter for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Administrative / Procedural, Good Clinical Practice (GCP)",Final,No,,FDA-2003-D-0031
CPG Sec. 396.300 Defective Suntanning Booths and Bed,,02/28/2005,,"Investigation & Enforcement,",Final,No,,
CPG Sec. 398.100 Definition of General Purpose Radiographic X-Ray System - 21 CFR 1020.30(b),,02/28/2005,Office of Regulatory AffairsCenter for Devices and Radiological Health,"Investigation & Enforcement, Radiology",Final,No,,FDA-2020-D-0957
CPG Sec. 398.325 Regulatory Actions Against Assemblers Noncompliant Diagnostic X-Ray Equipment,,02/28/2005,,"Investigation & Enforcement,",Final,No,,
"CPG Sec. 398.700 Reloaders of X-ray Tube Housing Assemblies; Applicability of Medical Device Establishment Registration, Device Listing and Biennial Inspection",,02/28/2005,,"Investigation & Enforcement,",Final,No,,
CPG Sec. 310.210 Blood Pressure Measurement Devices (Sphygmomanometers) - Accuracy,PDF (63.87 KB)PDF (63.87 KB) of CPG Sec. 310.210 Blood Pressure Measurement Devices (Sphygmomanometers) - Accuracy,02/18/2005,Center for Devices and Radiological HealthOffice of Regulatory Affairs,"Investigation & Enforcement,",Final,No,,FDA-2005-D-0029
"Information for Healthcare Organizations about FDA's ""Guidance for Industry: Cybersecurity for Networked Medical Devices Containing Off-The-Shelf (OTS) Software""",,02/08/2005,Center for Devices and Radiological Health,Digital Health,Final,No,,FDA-2020-D-0957
CVM GFI #173 Animal Drug Sponsor Fees Under the Animal Drug User Fee Act (ADUFA),PDF (51.92 KB)PDF (51.92 KB) of CVM GFI #173 Animal Drug Sponsor Fees Under the Animal Drug User Fee Act (ADUFA),02/07/2005,Center for Veterinary Medicine,"User Fees,",Final,No,,FDA-2004-D-0181
CVM GFI #173 Appendix for the Animal Drug Sponsor Fees Under ADUFA,PDF (43.8 KB)PDF (43.8 KB) of CVM GFI #173 Appendix for the Animal Drug Sponsor Fees Under ADUFA,02/07/2005,Center for Veterinary Medicine,"User Fees,",Final,No,,FDA-2004-D-0181
Gingivitis: Development and Evaluation of Drugs for Treatment or Prevention,PDF (112.67 KB)PDF (112.67 KB) of Gingivitis: Development and Evaluation of Drugs for Treatment or Prevention,01/28/2005,Center for Drug Evaluation and Research,"Clinical - Medical, Pediatric Product Development",Draft,No,,
Cybersecurity for Networked Medical Devices Containing Off-the-Shelf (OTS) Software:  Guidance for Industry,PDF (147.75 KB)PDF (147.75 KB) of Cybersecurity for Networked Medical Devices Containing Off-the-Shelf (OTS) Software:  Guidance for Industry,01/14/2005,Center for Devices and Radiological Health,,Final,No,,FDA-2020-D-0957
Guidance for Industry: Labeling for Cosmetics Containing Alpha Hydroxy Acids,,01/10/2005,"Office of the Commissioner,Office of the Chief Scientist","Ingredients, Labeling",Final,No,,FDA-2000-P-0063
Submitting Separate Marketing Applications and Clinical Data for Purposes of Assessing User Fees:  Guidance for Industry,PDF (211.49 KB)PDF (211.49 KB) of Submitting Separate Marketing Applications and Clinical Data for Purposes of Assessing User Fees:  Guidance for Industry,01/03/2005,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"User Fees,",Final,No,,FDA-2001-D-0134
M4:  The CTD -- General Questions and Answers,PDF (44.82 KB)PDF (44.82 KB) of M4:  The CTD -- General Questions and Answers,12/22/2004,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,ICH-Multidisciplinary,Final,No,,
Clinical Data Presentations for Orthopedic Device Applications -  Guidance for Industry and FDA Staff,PDF (538.18 KB)PDF (538.18 KB) of Clinical Data Presentations for Orthopedic Device Applications -  Guidance for Industry and FDA Staff,12/01/2004,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2020-D-0957
M4: The CTD -- Efficacy Questions and Answers,PDF (165.46 KB)PDF (165.46 KB) of M4: The CTD -- Efficacy Questions and Answers,12/01/2004,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,ICH-Multidisciplinary,Final,No,,
Changes to an Approved NDA or ANDA; Specifications – Use of Enforcement Discretion for Compendial Changes:  Guidance for Industry,PDF (24.22 KB)PDF (24.22 KB) of Changes to an Approved NDA or ANDA; Specifications – Use of Enforcement Discretion for Compendial Changes:  Guidance for Industry,11/22/2004,Center for Drug Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Final,No,,FDA-2004-D-0179
CVM GFI #122 Manufacture and Labeling of Raw Meat Foods for Companion and Captive Noncompanion Carnivores and Omnivores,PDF (94.47 KB)PDF (94.47 KB) of CVM GFI #122 Manufacture and Labeling of Raw Meat Foods for Companion and Captive Noncompanion Carnivores and Omnivores,11/09/2004,Center for Veterinary Medicine,Animal Feed,Final,No,,FDA-2002-D-0148
